city_id,city
1605,Manitou Springs
1606,Childersburg
1607,Palatka
1608,Gas City
1609,Blue Island
1610,Daleville
1611,Redmond
1612,Saint Paul
1613,San Ysidro
1614,Clarksdale
1615,Granite City
1616,Frederick
1617,Santa Paula
1618,Grand Blanc
1619,Hot Springs
1620,Gothenburg
1621,New Port Richey
1622,Key West
1623,Winner
1624,Saluda
1625,Phoenix
1626,Port Sulphur
1627,Chickasha
1628,Seffner
1629,Elgin
1630,South Elgin
1631,Roslindale
1632,Red Bluff
1633,Mayfield
1634,Bailey
1635,Edwards
1636,Canal Fulton
1637,Batesburg
1638,North Myrtle Beach
1639,Barksdale Afb
1640,Cocoa
1641,Tampa
1642,Iowa Falls
1643,Merrill
1644,West Branch
1645,Mount Union
1646,Alexander City
1647,Delafield
1648,Robinson Creek
1649,Bensalem
1650,Forest Lake
1651,Akron
1652,Woodway
1653,Sealy
1654,Bakersfield
1655,Kahuku
1656,Aurora
1657,Milpitas
1658,Jamestown
1659,Summerfield
1660,Glen Cove
1661,Culver City
1662,Alden
1663,Baltimore
1664,Mannington
1665,Cottonwood
1666,Gatesville
1667,Wantagh
1668,Belle Glade
1669,Republic
1670,Franklin Square
1671,Osage Beach
1672,Toronto
1673,Durant
